|Título apartamento|Preço do apartamento|Quantidade de quarto|Area do apartamento|Taxa do condomínio|Vagas de garagem|Endereco do apartamento|Quantidade de suítes|Quantidade de banheiro
88|Apartamento para venda com 72 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 199.000|3 quartos|72m²|R$ 550|1 vaga|Natal, Capim Macio | |1
89| | | | | | | | | 
90|Apartamento para venda com 166 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.690.000|4 quartos|166m²|R$ 1.030|2 vagas|Natal, Tirol | |2
91|Apartamento para venda possui 208 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 2.400.000|4 quartos|208m²|R$ 1.600|4 vagas|Natal, Tirol | |4
92| | | | | | | | | 
93|Apartamento para venda tem 140 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 400.000|3 quartos|95m²|R$ 950|2 vagas|Natal, Tirol | |2
94|Apartamento para venda tem 186 metros quadrados com 3 quartos em Petrópolis - Natal - RN|R$ 930.000|3 quartos|186m²|R$ 1.800|3 vagas|Natal, Petrópolis | |3
95|Apartamento para venda com 118 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 1.000.000|3 quartos|118m²|R$ 1.050|2 vagas|Natal, Lagoa Nova | |2
96|Apartamento para venda com 98 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 410.000|3 quartos|98m²|R$ 1.000|3 vagas|Natal, Candelária | |3
97|Apartamento para venda possui 220 metros quadrados com 4 quartos em Petrópolis - Natal - R|R$ 990.000|4 quartos|220m²|R$ 1.850|3 vagas|Natal, Petrópolis | |3
98|Apartamento para venda possui 110 metros quadrados com 4 quartos em Candelária - Natal - R|R$ 620.000|4 quartos|110m²|R$ 900|2 vagas|Natal, Candelária | |2
99|Apartamento para venda com 132 metros quadrados com 4 quartos em Ponta Negra - Natal - RN|R$ 680.000|4 quartos|132m²|R$ 600|2 vagas|Natal, Ponta Negra | |2
100| | | | | | | | | 
101|Apartamento para venda com 113 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 520.000|3 quartos|113m²|R$ 850|2 vagas|Natal, Lagoa Nova | |2
102|Apartamento para venda com 110 metros quadrados com 3 quartos em Nova Descoberta - Natal -|R$ 230.000|3 quartos|110m²|R$ 350|1 vaga|Natal, Nova Descoberta | |1
103|Apartamento para venda possui 157 metros quadrados com 4 quartos em Tirol - Natal - RN|R$ 1.200.000|4 quartos|157m²|R$ 921|3 vagas|Natal, Tirol | |3
104|Apartamento para venda possui 101 metros quadrados com 3 quartos em Lagoa Nova - Natal - R|R$ 570.000|3 quartos|101m²|R$ 750|2 vagas|Natal, Lagoa Nova | |2
105|Apartamento para venda com 170 metros quadrados com 3 quartos em Lagoa Nova - Natal - RN|R$ 569.000|3 quartos|170m²|R$ 1.500|3 vagas|Natal, Lagoa Nova | |3
106|Apartamento para venda com 51 metros quadrados com 2 quartos em Ponta Negra - Natal - RN|R$ 319.900|2 quartos|50m²|R$ 0|1 vaga|Natal, Ponta Negra | |1
107| | | | | | | | | 
108|Apartamento para venda possui 200 metros quadrados com 3 quartos em Tirol - Natal - RN|R$ 650.000|3 quartos|200m²|R$ 1.350|2 vagas|Natal, Tirol | |2
109|Apartamento para venda possui 81 metros quadrados com 3 quartos em Candelária - Natal - RN|R$ 160.000|3 quartos|81m²|R$ 170|2 vagas|Natal, Candelária | |2
110|Apartamento para venda com 101 metros quadrados com 3 quartos em Ponta Negra - Natal - RN|R$ 375.000|3 quartos|101m²|R$ 0|2 vagas|Natal, Ponta Negra | |2
111|Apartamento para venda tem 220 metros quadrados com 4 quartos em Barro Vermelho - Natal - |R$ 595.000|4 quartos|220m²|R$ 970|2 vagas|Natal, Barro Vermelho | |2
112|Apartamento para venda com 96 metros quadrados com 3 quartos em Barro Vermelho - Natal - R|R$ 400.000|3 quartos|96m²|R$ 910|2 vagas|Natal, Barro Vermelho | |2
113|Apartamento para venda tem 141 metros quadrados com 3 quartos em Capim Macio - Natal - RN|R$ 895.000|3 quartos|141m²|R$ 0|2 vagas|Natal, Capim Macio | |2
114|Apartamento para venda com 136 metros quadrados com 3 quartos em Barro Vermelho - Natal - |R$ 360.000|3 quartos|136m²|R$ 1.000|2 vagas|Natal, Barro Vermelho | |2
115|Apartamento para venda possui 96 metros quadrados com 3 quartos em Barro Vermelho - Natal |R$ 360.000|3 quartos|96m²|R$ 0|2 vagas|Natal, Barro Vermelho | |2
116|Apartamento para venda tem 97 metros quadrados com 2 quartos em Candelária - Natal - RN.|R$ 170.000|2 quartos|97m²|R$ 385|1 vaga|Natal, Candelária | |1
